RowID,OrderDate,OrderID,OrderLineID,PaymentType,Brand,ProductCategoryID,Category,ProductType,ProductID,ProductName,ShippingType,Delivery,CustomerID,Customer,City,State,Country,CustomerAge,Gender,Sector,Units,Tax,ProductPrice,InventoryUnits,OrderShipTime,OrderTotalDeliveryTime,ReturnFlag,DiscountAmount,Sales,Discount,GrossMargin,Carrier,ShippingTime,OrderYearMonth
1,2024-04-27,123921061,I84333,Google Pay,AquaSound,9002,Audio,Waterproof Speaker,100913,AquaBeats 20000,One Day Delivery,Ontime Delivery,D1.614,Matilda Fraser,Federal Way,Washington,USA,18 - 24,Female,Premium,1,0.07,506,6,7,14.41,No,0,541.42,0.0,31,UPS,0.6,2024-04
2,2024-04-27,123921061,I84708,Google Pay,SunCharge,9001,Accessories,Solar Charger,100997,SolarBoost 8000,Standard Delivery,Ontime Delivery,D1.614,Matilda Fraser,Federal Way,Washington,USA,18 - 24,Female,Premium,1,0.07,278,13,46,134.56,No,0,297.46,0.0,29,UPS,5.6,2024-04
3,2024-04-27,123921061,I6532,Google Pay,CosmoCell,9004,Computing,Tablet,100865,TabLink 15 Pro,Standard Delivery,Ontime Delivery,D1.614,Matilda Fraser,Federal Way,Washington,USA,18 - 24,Female,Premium,1,0.07,724,20,10,103.2,No,0,774.68,0.0,24,UPS,4.3,2024-04
4,2024-04-27,123921061,I33529,Google Pay,SolarCity,9007,Home Automation,Solar Power System,100845,SolarHome Ultimate,Standard Delivery,Ontime Delivery,D1.614,Matilda Fraser,Federal Way,Washington,USA,18 - 24,Female,Premium,1,0.07,602,79,84,192.28,No,0,644.14,0.0,35,UPS,8,2024-04
5,2024-04-27,123921061,I17440,Google Pay,Electra,9002,Audio,Bluetooth Speaker,100724,SoundWave 2000,One Day Delivery,Order Delayed,D1.614,Matilda Fraser,Federal Way,Washington,USA,18 - 24,Female,Premium,1,0.07,825,14,22,30.95,No,190.575,635.25,0.3,8,FedEx,1.3,2024-04
6,2024-04-28,12391107,I12634,Amex,NeoVision,9013,Wearable,VR Headset,100733,VRXperience Pro,Standard Delivery,Ontime Delivery,D1.409,Cheyne Cummings,Glendale,Arizona,USA,45 - 54,Male,Premium,1,0.07,1087,67,87,94.11,No,55.437,1108.74,0.05,12,UPS,3.9,2024-04
7,2024-04-28,12391107,I13870,Amex,MegaByte,9012,Storage,External Hard Drive,100786,DataVault 4TB,Two Day Delivery,Order Delayed,D1.409,Cheyne Cummings,Glendale,Arizona,USA,45 - 54,Male,Premium,1,0.07,463,83,12,58.44,No,0,495.41,0.0,33,FasTrac,2.4,2024-04
8,2024-04-28,12391107,I24051,Amex,SolarFlare,9001,Accessories,Solar Panel,100921,SolarPanel Deluxe,One Day Delivery,Order Delayed,D1.409,Cheyne Cummings,Glendale,Arizona,USA,45 - 54,Male,Premium,1,0.07,823,11,10,28.96,No,0,880.61,0.0,16,FedEx,1.2,2024-04
9,2024-04-28,12394294,I1984,Visa,Quantum,9004,Computing,Tablet,100726,TabLink 10,Standard Delivery,Ontime Delivery,D1.1533,Kate Duggan,Paradise Valley,Arizona,USA,55 - 64,Female,Non-Premium,1,0.07,1139,62,27,79.54,No,0,1218.73,0.0,22,FedEx,3.3,2024-04
10,2024-04-28,12394294,I91258,Visa,EcoHeat,9007,Home Automation,Smart Thermostat,100791,HeatWave Elite,Standard Delivery,Ontime Delivery,D1.1533,Kate Duggan,Paradise Valley,Arizona,USA,55 - 64,Female,Non-Premium,1,0.07,193,25,44,85.78,No,26.634,177.56,0.15,8,FedEx,3.6,2024-04
11,2024-04-28,12394294,I39744,Visa,AquaView,9010,Photography,Underwater Camera,101018,AquaCapture 32000,Standard Delivery,Ontime Delivery,D1.1533,Kate Duggan,Paradise Valley,Arizona,USA,55 - 64,Female,Non-Premium,1,0.07,2220,6,21,79.02,No,455.1,1820.4,0.25,17,FedEx,3.3,2024-04
12,2024-04-28,12394294,I41400,Visa,EcoHeat,9007,Home Automation,Smart Thermostat,100834,HeatWave Ultra,Standard Delivery,Ontime Delivery,D1.1533,Kate Duggan,Paradise Valley,Arizona,USA,55 - 64,Female,Non-Premium,1,0.07,208,83,3,113.5,No,48.048,160.16,0.3,13,FedEx,4.7,2024-04
13,2024-04-28,12395756,I13231,Visa,UltraScan,9001,Accessories,Barcode Scanner,101003,ScanMaster Master Master,Standard Delivery,Ontime Delivery,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,1,0.07,477,10,64,127.8,No,0,510.39,0.0,8,FedEx,5.3,2024-04
14,2024-04-28,12395756,I82752,Visa,Nextron,9004,Computing,Laptop,100809,QuantumBook Ultimate,Standard Delivery,Ontime Delivery,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,1,0.07,864,73,14,111.31,No,0,924.48,0.0,10,FedEx,4.6,2024-04
15,2024-04-28,12395756,I98782,Visa,AquaSound,9002,Audio,Waterproof Speaker,100741,AquaBeats 1000,Two Day Delivery,Order Delayed,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,1,0.07,461,13,28,56.26,No,0,493.27,0.0,25,FasTrac,2.3,2024-04
16,2024-04-28,12395756,I5534,Visa,GigaSound,9002,Audio,Amplifier,101010,SoundMax 10000,Two Day Delivery,Order Delayed,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,1,0.07,316,19,13,60.03,No,16.116,322.32,0.05,29,FasTrac,2.5,2024-04
17,2024-04-28,12395756,I82348,Visa,SunCharge,9001,Accessories,Solar Charger,100825,SolarBoost 500,Two Day Delivery,Order Delayed,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,1,0.07,340,14,1,59.57,No,69.7,278.8,0.25,29,FasTrac,2.5,2024-04
18,2024-04-28,12395756,I13962,Visa,AquaSound,9002,Audio,Waterproof Speaker,100913,AquaBeats 20000,Two Day Delivery,Order Delayed,D1.1354,Karen Noble,Cleveland,Ohio,USA,55 - 64,Female,Non-Premium,2,0.07,506,6,11,66.65,No,0,1047.42,0.0,22,FasTrac,2.8,2024-04
19,2024-04-28,123912618,I12301,Visa,AquaSound,9002,Audio,Waterproof Speaker,100784,AquaBeats 2000,One Day Delivery,Ontime Delivery,D1.1701,Michael Hall,Conroe,Texas,USA,35 - 44,Male,Non-Premium,1,0.07,467,14,8,22.06,No,81.258,406.29,0.2,10,FedEx,0.9,2024-04
20,2024-04-28,123912618,I23434,Visa,VivoSync,9013,Wearable,Fitness Tracker,100783,FitSync 7,One Day Delivery,Order Delayed,D1.1701,Michael Hall,Conroe,Texas,USA,35 - 44,Male,Non-Premium,1,0.07,258,22,14,34.34,No,0,276.06,0.0,14,FedEx,1.4,2024-04
21,2024-04-28,123915580,I9851,Visa,SmartGuard,9007,Home Automation,Home Automation,100906,SecureHome Deluxe,Two Day Delivery,Order Delayed,D1.1087,Mark Harrington,Knoxville,Tennessee,USA,18 - 24,Male,Non-Premium,1,0.07,54,6,0,53.77,No,0,57.78,0.0,11,FasTrac,2.2,2024-04
22,2024-04-28,123923393,I23125,Google Pay,LunarX,9005,Entertainment,Telescope,100965,StarScope 3200,Standard Delivery,Ontime Delivery,D1.1176,Ricardo Spurr,Detroit,Michigan,USA,18 - 24,Male,Premium,1,0.07,1059,5,13,91.1,No,102.723,1027.23,0.1,15,UPS,3.8,2024-04
23,2024-04-28,123923393,I35198,Google Pay,SolarFlare,9001,Accessories,Solar Panel,100921,SolarPanel Deluxe,Standard Delivery,Ontime Delivery,D1.1176,Ricardo Spurr,Detroit,Michigan,USA,18 - 24,Male,Premium,1,0.07,823,11,9,72.11,No,143.202,716.01,0.2,35,UPS,3,2024-04
24,2024-04-28,123923393,I68226,Google Pay,AeroTech,9010,Photography,Drone,100930,SkyCopter 2000,Standard Delivery,Ontime Delivery,D1.1176,Ricardo Spurr,Detroit,Michigan,USA,18 - 24,Male,Premium,1,0.07,1700,12,15,76.64,No,295.8,1479.0,0.2,27,UPS,3.2,2024-04
25,2024-04-28,123923393,I69405,Google Pay,SolarCity,9007,Home Automation,Solar Power System,100759,SolarHome Plus,Two Day Delivery,Ontime Delivery,D1.1176,Ricardo Spurr,Detroit,Michigan,USA,18 - 24,Male,Premium,1,0.07,1186,84,12,47.31,No,0,1269.02,0.0,17,UPS,2,2024-04
26,2024-04-28,123923393,I25084,Google Pay,EcoHeat,9007,Home Automation,Smart Thermostat,100920,HeatWave Deluxe,Standard Delivery,Ontime Delivery,D1.1176,Ricardo Spurr,Detroit,Michigan,USA,18 - 24,Male,Premium,1,0.07,215,30,5,121.86,Yes,0,230.05,0.0,11,UPS,5.1,2024-04
