RowID,OrderYearMonth,OrderDate,CustomerName,Segment,Region,Category,Sales
1,202201,2022-01-20,Darren Powers,Consumer,Central,Office Supplies,16.448
2,202201,2022-01-21,Phillina Ober,Home Office,Central,Office Supplies,3.54
3,202201,2022-01-21,Phillina Ober,Home Office,Central,Office Supplies,11.784
4,202201,2022-01-21,Phillina Ober,Home Office,Central,Office Supplies,272.736
5,202201,2022-01-22,Mick Brown,Consumer,East,Office Supplies,19.536
6,202201,2022-01-23,Maria Etezadi,Home Office,South,Furniture,2573.82
7,202201,2022-01-23,Maria Etezadi,Home Office,South,Office Supplies,5.48
8,202201,2022-01-23,Jack O'Briant,Corporate,South,Office Supplies,12.78
9,202201,2022-01-23,Maria Etezadi,Home Office,South,Office Supplies,609.98
10,202201,2022-01-23,Maria Etezadi,Home Office,South,Office Supplies,31.12
11,202201,2022-01-23,Maria Etezadi,Home Office,South,Office Supplies,6.54
12,202201,2022-01-23,Lycoris Saunders,Consumer,West,Office Supplies,19.44
13,202201,2022-01-23,Maria Etezadi,Home Office,South,Technology,755.96
14,202201,2022-01-23,Maria Etezadi,Home Office,South,Technology,391.98
15,202201,2022-01-24,Vivek Sundaresam,Consumer,Central,Furniture,76.728
16,202201,2022-01-24,Vivek Sundaresam,Consumer,Central,Office Supplies,10.43
17,202201,2022-01-26,Melanie Seite,Consumer,Central,Office Supplies,9.344
18,202201,2022-01-26,Melanie Seite,Consumer,Central,Technology,31.2
19,202201,2022-01-27,Anthony Jacobs,Corporate,South,Furniture,51.94
20,202201,2022-01-27,Anthony Jacobs,Corporate,South,Office Supplies,2.89
21,202201,2022-01-28,Seth Vernon,Consumer,East,Furniture,9.94
22,202201,2022-01-30,Brian Dahlen,Consumer,West,Furniture,333.999
23,202201,2022-01-30,Natalie DeCherney,Consumer,South,Furniture,545.94
24,202201,2022-01-30,Brian Dahlen,Consumer,West,Office Supplies,19.9
25,202201,2022-01-30,Michael Moore,Consumer,East,Office Supplies,3.438
26,202201,2022-01-30,Chris Selesnick,Corporate,South,Office Supplies,5.64
27,202201,2022-01-30,Chris Selesnick,Corporate,South,Office Supplies,50.94
28,202201,2022-01-30,Chris Selesnick,Corporate,South,Office Supplies,11.36
29,202201,2022-01-30,Michael Moore,Consumer,East,Office Supplies,37.408
30,202201,2022-01-30,Chris Selesnick,Corporate,South,Office Supplies,572.58
31,202201,2022-01-30,Brian Dahlen,Consumer,West,Office Supplies,1325.85
32,202201,2022-01-30,Chris Selesnick,Corporate,South,Technology,646.74
33,202201,2022-01-31,Brendan Sweed,Corporate,East,Furniture,61.96
34,202202,2022-02-01,Erica Hackney,Consumer,South,Technology,149.95
35,202202,2022-02-02,Delfina Latchford,Consumer,East,Furniture,127.104
36,202202,2022-02-02,Delfina Latchford,Consumer,East,Office Supplies,18.588
37,202202,2022-02-02,Delfina Latchford,Consumer,East,Office Supplies,30.072
