RowID,OrderYearMonth,OrderDate,CustomerName,Segment,Region,Category,Sales
1,2022-02,2022-02-25,Darren Powers,Consumer,Central,Office Supplies,16.448
2,2022-02,2022-02-26,Phillina Ober,Home Office,Central,Office Supplies,3.54
3,2022-02,2022-02-26,Phillina Ober,Home Office,Central,Office Supplies,11.784
4,2022-02,2022-02-26,Phillina Ober,Home Office,Central,Office Supplies,272.736
5,2022-02,2022-02-27,Mick Brown,Consumer,East,Office Supplies,19.536
6,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Furniture,2573.82
7,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Office Supplies,5.48
8,2022-02,2022-02-28,Jack O'Briant,Corporate,South,Office Supplies,12.78
9,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Office Supplies,609.98
10,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Office Supplies,31.12
11,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Office Supplies,6.54
12,2022-02,2022-02-28,Lycoris Saunders,Consumer,West,Office Supplies,19.44
13,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Technology,755.96
14,2022-02,2022-02-28,Maria Etezadi,Home Office,South,Technology,391.98
15,2022-03,2022-03-01,Vivek Sundaresam,Consumer,Central,Furniture,76.728
16,2022-03,2022-03-01,Vivek Sundaresam,Consumer,Central,Office Supplies,10.43
17,2022-03,2022-03-03,Melanie Seite,Consumer,Central,Office Supplies,9.344
18,2022-03,2022-03-03,Melanie Seite,Consumer,Central,Technology,31.2
19,2022-03,2022-03-04,Anthony Jacobs,Corporate,South,Furniture,51.94
20,2022-03,2022-03-04,Anthony Jacobs,Corporate,South,Office Supplies,2.89
21,2022-03,2022-03-05,Seth Vernon,Consumer,East,Furniture,9.94
22,2022-03,2022-03-07,Brian Dahlen,Consumer,West,Furniture,333.999
23,2022-03,2022-03-07,Natalie DeCherney,Consumer,South,Furniture,545.94
24,2022-03,2022-03-07,Brian Dahlen,Consumer,West,Office Supplies,19.9
25,2022-03,2022-03-07,Michael Moore,Consumer,East,Office Supplies,3.438
26,2022-03,2022-03-07,Chris Selesnick,Corporate,South,Office Supplies,5.64
27,2022-03,2022-03-07,Chris Selesnick,Corporate,South,Office Supplies,50.94
28,2022-03,2022-03-07,Chris Selesnick,Corporate,South,Office Supplies,11.36
29,2022-03,2022-03-07,Michael Moore,Consumer,East,Office Supplies,37.408
30,2022-03,2022-03-07,Chris Selesnick,Corporate,South,Office Supplies,572.58
31,2022-03,2022-03-07,Brian Dahlen,Consumer,West,Office Supplies,1325.85
32,2022-03,2022-03-07,Chris Selesnick,Corporate,South,Technology,646.74
33,2022-03,2022-03-08,Brendan Sweed,Corporate,East,Furniture,61.96
34,2022-03,2022-03-09,Erica Hackney,Consumer,South,Technology,149.95
35,2022-03,2022-03-10,Delfina Latchford,Consumer,East,Furniture,127.104
36,2022-03,2022-03-10,Delfina Latchford,Consumer,East,Office Supplies,18.588
37,2022-03,2022-03-10,Delfina Latchford,Consumer,East,Office Supplies,30.072
38,2022-03,2022-03-10,Delfina Latchford,Consumer,East,Technology,124.2
39,2022-03,2022-03-12,David Wiener,Corporate,West,Office Supplies,64.864
40,2022-03,2022-03-13,Toby Swindell,Consumer,West,Furniture,181.47
41,2022-03,2022-03-13,Toby Swindell,Consumer,West,Office Supplies,32.34
42,2022-03,2022-03-13,Toby Swindell,Consumer,West,Office Supplies,108.72
43,2022-03,2022-03-13,Toby Swindell,Consumer,West,Office Supplies,56.064
44,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Furniture,1067.94
45,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Furniture,14.73
46,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Furniture,272.94
47,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Furniture,38.6
48,2022-03,2022-03-14,Mark Van Huff,Consumer,West,Furniture,19.3
49,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,247.716
50,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Office Supplies,22.96
51,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Office Supplies,6.63
52,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,43.92
53,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,19.05
54,2022-03,2022-03-14,Muhammed MacIntyre,Corporate,South,Office Supplies,67.194
55,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,29.7
56,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Office Supplies,23.34
57,2022-03,2022-03-14,Mark Van Huff,Consumer,West,Office Supplies,19.36
58,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,13.98
59,2022-03,2022-03-14,Xylona Preis,Consumer,Central,Office Supplies,66.58
60,2022-03,2022-03-14,Hunter Lopez,Consumer,South,Technology,699.93
61,2022-03,2022-03-15,Tom Boeckenhauer,Consumer,South,Furniture,25.248
62,2022-03,2022-03-15,Jane Waco,Corporate,East,Furniture,24.3
63,2022-03,2022-03-15,Jane Waco,Corporate,East,Furniture,9.48
64,2022-03,2022-03-15,Jane Waco,Corporate,East,Furniture,31.4
65,2022-03,2022-03-15,Jane Waco,Corporate,East,Office Supplies,6.48
66,2022-03,2022-03-15,Jane Waco,Corporate,East,Technology,209.5
67,2022-03,2022-03-17,Speros Goranitis,Consumer,Central,Office Supplies,5.94
68,2022-03,2022-03-17,Ionia McGrath,Consumer,West,Office Supplies,40.08
69,2022-03,2022-03-20,Carol Adams,Corporate,Central,Furniture,141.96
70,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Furniture,12.42
71,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Furniture,62.82
72,2022-03,2022-03-20,Carol Adams,Corporate,Central,Office Supplies,10.68
73,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Office Supplies,16.68
74,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Office Supplies,19.44
75,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Office Supplies,489.92
76,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Technology,187.98
77,2022-03,2022-03-20,Shirley Daniels,Home Office,South,Technology,155.35
78,2022-03,2022-03-21,Ed Jacobs,Consumer,West,Furniture,333.0
79,2022-03,2022-03-21,Ed Jacobs,Consumer,West,Office Supplies,36.44
80,2022-03,2022-03-21,Ed Jacobs,Consumer,West,Office Supplies,57.23
81,2022-03,2022-03-22,Jasper Cacioppo,Consumer,East,Office Supplies,3.928
82,2022-03,2022-03-24,Mike Vittorini,Consumer,Central,Office Supplies,10.56
83,2022-03,2022-03-24,Mike Vittorini,Consumer,Central,Office Supplies,229.94
84,2022-03,2022-03-25,Liz Carlisle,Consumer,West,Furniture,290.666
85,2022-03,2022-03-26,Bradley Drucker,Consumer,Central,Technology,468.9
86,2022-03,2022-03-27,Eric Barreto,Consumer,South,Office Supplies,18.336
87,2022-03,2022-03-27,Cynthia Delaney,Home Office,West,Office Supplies,12.35
88,2022-03,2022-03-27,Eric Barreto,Consumer,South,Technology,180.96
89,2022-03,2022-03-28,Tom Boeckenhauer,Consumer,West,Office Supplies,13.272
90,2022-03,2022-03-28,Tom Boeckenhauer,Consumer,West,Office Supplies,83.84
91,2022-03,2022-03-29,Mark Haberlin,Corporate,West,Office Supplies,17.248
92,2022-03,2022-03-29,Deborah Brumfield,Home Office,West,Office Supplies,82.896
93,2022-03,2022-03-29,Deborah Brumfield,Home Office,West,Office Supplies,34.24
94,2022-03,2022-03-31,Delfina Latchford,Consumer,Central,Office Supplies,8.952
95,2022-03,2022-03-31,Neil Ducich,Corporate,South,Office Supplies,15.0
96,2022-03,2022-03-31,Neil Ducich,Corporate,South,Technology,144.95
97,2022-03,2022-03-31,Neil Ducich,Corporate,South,Technology,161.61
98,2022-04,2022-04-01,Chris Selesnick,Corporate,East,Office Supplies,64.96
99,2022-04,2022-04-01,Cyma Kinney,Corporate,East,Technology,115.36
100,2022-04,2022-04-02,Nathan Mautz,Home Office,West,Furniture,14.56
101,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Furniture,60.89
102,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Furniture,332.94
103,2022-04,2022-04-05,Natalie Fritzler,Consumer,South,Furniture,1256.22
104,2022-04,2022-04-05,Natalie Fritzler,Consumer,South,Office Supplies,17.46
105,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Office Supplies,51.9
106,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Office Supplies,9.64
107,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Office Supplies,14.94
108,2022-04,2022-04-05,Guy Armstrong,Consumer,Central,Office Supplies,64.96
109,2022-04,2022-04-05,Natalie Fritzler,Consumer,South,Technology,234.45
110,2022-04,2022-04-06,Sanjit Chand,Consumer,West,Furniture,129.568
111,2022-04,2022-04-08,Marina Lichtenstein,Corporate,West,Office Supplies,81.96
112,2022-04,2022-04-08,Shui Tom,Consumer,Central,Office Supplies,16.176
113,2022-04,2022-04-08,Marina Lichtenstein,Corporate,West,Office Supplies,238.62
